Kommunenavn,Kommunekode,Tillægsnavn,PlanID,Digital?
Aarhus,0751,"1. Udvidelse af Trige Højspændingsstation, Trige  (LP 1244)",12161235,Nej
Aarhus,0751,"10. Ændrede anvendelsesbestemmelser for syv arealer, der anvendes til jernbanedrift",12161550,Nej
Aarhus,0751,"11. Ændrede anvendelsesbestemmelser til boligformål for to områder, der er rammebelagt til offentlige formål",12161596,Nej
Aarhus,0751,"18. Blandede boligtyper på Larsmindevej 8, Lisbjerg (LP 1218)",12103147,Nej
Aarhus,0751,22. Frydenlundcenteret (LP 1165),12186766,Nej
Aarhus,0751,"3. Boligområde ved Kalmargade, Aarhus N (LP1253)",12192722,Nej
Aarhus,0751,4. Boliger på mejerigrunden ved Randersvej og Forten i Lisbjerg (LP 1254),12191939,Nej
Aarhus,0751,5. Bevaringsværdige bygninger Åby,12186082,Nej
Aarhus,0751,6. Boliger ved Tilst Vestervej og Gedingvej i Tilst (LP 1205),12186942,Nej
Aarhus,0751,7. Vurdering af enkeltbygningers bevaringsværdi (1-4). Delområderne: Vejlby-Risskov,12160430,Nej
Aarhus,0751,8. Vurdering af enkeltbygningers bevaringsværdi (1-4). Bevaringsværdige bygninger i Midtbyen,12160432,Nej
Aarhus,0751,Tillæg nr. 31 til Kommuneplan 2025,12193096,Nej
Aarhus,0751,Vindmøller ved Vosnæs (LP 1237),12097797,Nej
Albertslund,0165,Kommuneplantillæg 1 - Vridsløse,11255878,Nej
Albertslund,0165,Kommuneplantillæg 2 - Herstedlund Nord,11306773,Nej
Albertslund,0165,Kommuneplantillæg 3 Sydvangen øst,11287512,Nej
Albertslund,0165,Kommuneplantillæg 4 - Hersted Stationsforplads,11340745,Nej
Albertslund,0165,Kommuneplantillæg 5 - rækkefølgeplanlægning,11915624,Nej
Albertslund,0165,Kommuneplantillæg 6,12126254,Nej
Albertslund,0165,Kommuneplantillæg 8 Institution på Skallerne 1,12161571,Nej
Allerød,0201,Kommuneplantillæg nr. 1 for Vassingerød Syd - LU.E.02-1,12181307,Nej
Assens,0420,"Kommuneplantillæg nr. 1 Boligområde ved Skolevej, Grønnemose",12130083,Nej
Assens,0420,Kommuneplantillæg nr. 2 Offentlige formål ved Vestervangen,12129167,Nej
Assens,0420,Kommuneplantillæg nr. 3 For Nyt Aflastningsområde i Assens,12139367,Nej
Assens,0420,"Kommuneplantillæg nr. 5 Erhvervsområde ved Bogensevej, Grønnemose",12181819,Nej
Assens,0420,Kommuneplantillæg nr. 7 Område til offentlig formål,12187272,Nej
Assens,0420,"Ny kommuneplanrammekommuneplantillæg nr. 6 Ny kommuneplanramme  2.1.O.41 Institutionsformål på Nørregård, Nedermarken, Ørsbjerg",12187296,Nej
Ballerup,0151,Nr. 1 - Skovrejsning,12136868,Nej
Billund,0530,Tillæg nr 1 - Grindsted Retail Park,12122194,Nej
Billund,0530,Tillæg nr. 2 - Billund bymidteafgrænsning,12133278,Nej
Bornholms Regionskommune,0400,01 Fornyet høring,10814447,Nej
Bornholms Regionskommune,0400,03 Rønne Syd,10854346,Nej
Bornholms Regionskommune,0400,04 Boliger i tidligere gymnasium,10336351,Nej
Bornholms Regionskommune,0400,06 Trætophytter Rutsker Højlyng,10908011,Nej
Bornholms Regionskommune,0400,07 Aflastningscenter ved Vibegårds Runddel,10914825,Nej
Bornholms Regionskommune,0400,08 Ypnasted,10894780,Nej
Bornholms Regionskommune,0400,10 Reduktion af støjkonsekvenszone for helikopterflyveplads,10938925,Nej
Bornholms Regionskommune,0400,11 Solceller ved Kildevad,11425256,Nej
Bornholms Regionskommune,0400,13 Kulturelle formål på Kjøllergaard,11229508,Nej
Bornholms Regionskommune,0400,14 Boligområde ved Langebjerg,11020211,Nej
Bornholms Regionskommune,0400,17 For den tidligere Østre Skole,11129698,Nej
Bornholms Regionskommune,0400,18 For et sommerhusområde ved Tejnvej,11925641,Nej
Bornholms Regionskommune,0400,"19 Rønne Havn, nye oplagsarealer samt ny kaj",11262270,Nej
Bornholms Regionskommune,0400,"20 Højspændingsstation, Energiø Bornholm",11307801,Nej
Bornholms Regionskommune,0400,21 For et sommerhusområde ved Langebjerg,11183679,Nej
Bornholms Regionskommune,0400,27 Multifunktionskaj ved Rønne Havn,11285433,Nej
Bornholms Regionskommune,0400,28 Aflastningsområde til store Butikker i Rønne,11276644,Nej
Bornholms Regionskommune,0400,31 Sommerhusområde ved Hammersø,11964013,Nej
Bornholms Regionskommune,0400,32 For et sommerhusområde ved Gedebakkevej,12107826,Nej
Bornholms Regionskommune,0400,36 - For festivaler på Nordlandet,12158254,Nej
Bornholms Regionskommune,0400,Solceller ved Kildevad,11234629,Nej
Brøndby,0153,Kommuneplantillæg nr. 1. Kirkebjerg,9712821,Nej
Brøndby,0153,Kommuneplantillæg nr. 10,11228723,Nej
Brøndby,0153,Kommuneplantillæg nr. 11 Brøndbyøstervej 78-80,11229456,Nej
Brøndby,0153,Kommuneplantillæg nr. 12. Ragnesminde,11252235,Nej
Brøndby,0153,Kommuneplantillæg nr. 2 Kirkebjerg Stationsforplads,9713167,Nej
Brøndby,0153,Kommuneplantillæg nr. 3 Plejecenter,10239297,Nej
Brøndby,0153,Kommuneplantillæg nr. 4. Sportsbyen,10061905,Nej
Brøndby,0153,Kommuneplantillæg nr. 5. Lokalcenter Park Allé,10269240,Nej
Brøndby,0153,Kommuneplantillæg nr. 6 Brøndbyvester Skole,10061966,Nej
Brøndby,0153,Kommuneplantillæg nr. 7. Daginstitutioner Tranehaven,10456793,Nej
Brøndby,0153,Kommuneplantillæg nr. 8 Seniorbofællesskab på Horsedammen,10855098,Nej
Brøndby,0153,Kommuneplantillæg nr. 9. Kirkebjerg Bydelscenter,11023510,Nej
Brønderslev,0810,"Fordebat - Dagligvarebutik ved Slotsgade, Dronninglund",12139032,Nej
Brønderslev,0810,"Kommuneplantillæg nr. 1 Teknisk anlæg, Brønderslev Energipark",12139030,Nej
Brønderslev,0810,Kommuneplantillæg nr. 2 Udvidelse af  Hjallerup Erhvervspark,12131053,Nej
Brønderslev,0810,Kommuneplantillæg nr. 3 Pastor Laier,12157674,Nej
Brønderslev,0810,Kommuneplantillæg nr. 4 Kulturcenter Fabrikken,12187311,Nej
Dragør,0155,Kommuneplantillæg 1 til Kommuneplan 2022,11131792,Nej
Dragør,0155,Kommuneplantillæg 2 til Kommuneplan 2022,11326323,Nej
Dragør,0155,Kommuneplantillæg 3 til Kommuneplan 2022,11324631,Nej
Dragør,0155,Kommuneplantillæg 5,12139263,Nej
Dragør,0155,Kommuneplantillæg 6 for Sandtangen,12121855,Nej
Dragør,0155,Kommuneplantillæg 8,12139366,Nej
Dragør,0155,Kommuneplantillæg 9 - Skovområde ved Fælledvej,12182726,Nej
Egedal,0240,Kommuneplantillæg - Smørum Idrætsområde og Smørum Kraftvarme,12187351,Nej
Egedal,0240,Kommuneplantillæg 1 - Regnvandsbassin og rekreativt område vest for Tværvej,12122202,Nej
Egedal,0240,Kommuneplantillæg nr. 02 Erhverv Risbyvej,12121894,Nej
Esbjerg,0561,Ændring 2023.27 Bolig ved Novrupvej 81 Esbjerg,11252204,Nej
Esbjerg,0561,"Ændring 2024.42 Helgolandshaven, boliger og hotel, Esbjerg",11306195,Nej
Esbjerg,0561,Ændring 2026.01 Boliger og kvartersplads i Det Internationale Kvarter,12158477,Nej
Esbjerg,0561,Ændring 2026.12 Dokken,12158249,Nej
Faaborg-Midtfyn,0430,"Erhvervsvirksomhed Fangelvej 98, Broby",12158789,Nej
Faaborg-Midtfyn,0430,Højspændingsstation Nordskov,12134284,Nej
Faaborg-Midtfyn,0430,Solcelleanlæg ved Stjernegårdsvej,12160497,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 1 til Kommuneplan 2019 - Års.B.13 Boligområde i Årslev-Sdr. Nærå,9731709,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 10 til Kommuneplan 2019,10272819,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 11 Hil.O.3 for offentlig område i Hillerslev (Hjemly Fri- og Efterskole),10456906,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 12 til Kommuneplan 2019 Østerbrokvarteret, Faaborg",10681808,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 13, Bolig og erhverv, Ferritslev (Fer.BE.2)",10783755,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 14 - Bolig og erhverv, Ringe (Rin.BE.1, Rin.R.1 og Rin.B.1)",10907103,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 15, Boligområde i Årslev-Sdr. Nærå",10814518,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 16 - Centerområde ved Håndværkervangen i Årslev,10906980,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 17 - Nor.T.1, Teknisk Anlæg, solcelle og vindmølle, Ringe Nord",10851246,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 18 Ændring af detailhandelsstrukturen i Faaborg,10943138,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 19 til Kommuneplan 2019, Ændring af Vaa.B.1, Vester Aaby",10938802,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 2 Fan.BE.1 for erhvervsvirksomhed, Fangelvej 98, 5672 Broby",9752377,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 20 til Kommuneplan 2019 - Ny rammeafgrænsning af Års.O.7 og Års.B.10,10982254,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 21 til Kommuneplan - Tilpasning af Rin.B.17 ift. krav om tæt-lav boligbebyggelse og støjafskærmning,10984064,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 22 Grundstørrelser for tæt-lav boligbebyggelse,11129408,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 23, Års.B.10, Udvidelse af boligområde, Årslev - Sdr. Nærå",11129335,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 24 til Kommuneplan 2019. Udvidelse af Års.C.4, Centerområde i Årslev-Sdr. Nærå",11129490,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 25 - Ændring af ramme Kor.O.3 og oprettelse af ny ramme Kor.BE.1,11172498,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 26 - Ave.R.2, Rekreativt område, Avernakø",11055018,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 27 til Kommuneplan 2019 - Fjernelse af krav om andel tæt-lav boliger i Fer.B.12,11194313,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 28 Dobbelthuse på Oddevej, Avernakø",11228676,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 29 til Kommuneplan 2019 Ændring af parkeringsnorm for centerområdet Års.C.3 i bymidten i Årslev,11235590,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 30 til Kommuneplan 2019 Udvidelse af Bernstorffsminde Efterskole herunder mulighed for solcelleanlæg,11194496,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 31 til Kommuneplan 2019 - Ændring af erhvervsområde ved Håndværkervej i Gislev, Gis.E.1",11249363,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 32 til Kommuneplan 2019, Dyr.B.2 - Boliger, Dyreborg",11249388,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 33 - Faa.C.13 Bryggergården, Faaborg",11255154,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 34, Sommerhusområde ved Nab",11254933,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 35 - Rin.C.2, Centrumpladsen, Ringe",11263153,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 36 til Kommuneplan 2019, Sal.T.1 Tekniske Anlæg, solceller ved Sallingelunde",11271400,Nej
Faaborg-Midtfyn,0430,Tillæg nr. 37 Regulering af tæt-lav boligbebyggelse i Nr. Søby,11306412,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 38 - Aflysning af kommuneplanramme Rin.BE.7, Rynkeby",11414310,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 39 til Kommuneplan 2019, Solcelleanlæg, Øster Hæsinge",11431319,Nej
Faaborg-Midtfyn,0430,"Tillæg nr. 4 til Kommuneplan 2019 - Ny ramme, Kvæ.C.2, Centerområde i Kværndrup",10242048,Nej
