Kommunenavn,Kommunekode,Tillægsnavn,PlanID,Digital?
Frederikshavn,0813,Tillæg nr. 15.78 - Boligområde syd for Brønderslevvej,9718982,Nej
Frederikshavn,0813,"Tillæg nr. 15.81 - Centerområde ved Østkystvejen, Voerså",10084420,Nej
Frederikshavn,0813,"Tillæg nr. 15.82 - Erhvervsområde syd for Kjeldgårdsvej II, Sæby",10084421,Nej
Frederikshavn,0813,"Tillæg nr. 15.83 - Boligområde ved Kirkevej, Skagen",10239715,Nej
Frederikshavn,0813,"Tillæg nr. 15.84 - Boligområde ved Langtvedvej, Sæby",10239721,Nej
Frederikshavn,0813,Tillæg nr. 15.85 - Klimatilpasningsplan 2022,10774417,Nej
Frederikshavn,0813,Tillæg nr. 15.86 - Erhvervsområde ved Buttervej øst i Skagen,10685930,Nej
Frederikshavn,0813,"Tillæg nr. 15.87 - Sommerhusområde ved Havlund, Sæby",10699912,Nej
Frederikshavn,0813,"Tillæg nr. 15.89 - Centerområde ved Sæbygårdvej, Sæby",10888952,Nej
Frederikshavn,0813,"Tillæg nr. 15.90 - Rekreativt område ved Kirkemarken, Strandby",10792807,Nej
Frederikshavn,0813,Tillæg nr. 15.92 - Boligområde øst for Ankermedet Ældrecenter,10908342,Nej
Frederikshavn,0813,"Tillæg nr. 15.94 - Tæt-lav boliger ved Krøyersvej 10, Skagen",10942928,Nej
Frederikshavn,0813,"Tillæg nr. 15.95 - Erhverv og sportsanlæg ved Esbjerggade, Frederikshavn",10942918,Nej
Frederikshavn,0813,Tillæg nr. 15.96 - Solcelleanlæg ved Havensvej/Badskær,11020107,Nej
Frederikshavn,0813,"Tillæg nr. 15.97 - Sommerhusområde mellem Kandebakkevej og Kandestedvej, Kandestederne",11016321,Nej
Frederikshavn,0813,Tillæg nr. 15.98 - Sommerhusområde ved Hvideklitvej 22,11020109,Nej
Frederikssund,0250,Kommuneplantillæg 001 for S-togs værksted,12134168,Nej
Frederikssund,0250,Kommuneplantillæg 002 for en batteripark ved Maglehøj syd for Lyngerup,12158445,Nej
Frederikssund,0250,Kommuneplantillæg 004 for Bonderup Banegrav,12185959,Nej
Furesø,0190,Tillæg 2 til Kommuneplan 2025,12107234,Nej
Furesø,0190,Tillæg 3 til Kommuneplan 2025,12136454,Nej
Furesø,0190,Tillæg 4 til Kommuneplan 2025,12136461,Nej
Gentofte,0157,Forslag til Tillæg 2,12130509,Nej
Gentofte,0157,Forslag til Tillæg 4,12129094,Nej
Gentofte,0157,Forslag til Tillæg 7,12185617,Nej
Gentofte,0157,Tillæg 1,12117367,Nej
Gentofte,0157,Tillæg 3,12126419,Nej
Gentofte,0157,Tillæg 6,12158622,Nej
Gladsaxe,0159,Tillæg 16 til Kommuneplan 2021,12185595,Nej
Glostrup,0161,KPT 1 - Erhvervsskole ved Hvissingevej,12158441,Nej
Glostrup,0161,KPT 3 - Parkeringshus ved Engtoftevej,12191017,Nej
Glostrup,0161,KPT2 - Rækkehusområde ved Ejby Mosevej og Skolestien,12190909,Nej
Greve,0253,Kommuneplantillæg nr. 2 til Kommuneplan 2021 - Første temarevision til Kommuneplan 2025 om Boliger til hele livet,11442226,Nej
Greve,0253,Kommuneplantillæg nr. 3 - 2. temarevision om 'Rig  natur og vedvarende energi',11912062,Nej
Greve,0253,Kommuneplantillæg nr. 4 - Ophævelse af konsekvenszone om RC-Centret,12183132,Nej
Greve,0253,Kommuneplantillæg nr. 5 - 3. temarevision om 'Trygge og sammenhængende lokalområder',12190838,Nej
Gribskov,0270,Tillæg nr. 10 - Saunaer langs kysten,12181763,Nej
Gribskov,0270,Tillæg nr. 11 - Rågeleje ,12182429,Nej
Gribskov,0270,Tillæg nr. 5 - Parkeringsplads ved stranden i Tisvilde,12137733,Nej
Gribskov,0270,Tillæg nr. 8 - Gilleleje Remise,12138928,Nej
Guldborgsund,0376,Kommuneplantillæg 6 Nykøbing F Bymidte,12188756,Nej
Guldborgsund,0376,Kommuneplantillæg nr.  9 Højspændingsstation Nørre Radsted,12085602,Nej
Guldborgsund,0376,Kommuneplantillæg nr. 10 Vennerslund Solcellepark,12085443,Nej
Guldborgsund,0376,"Kommuneplantillæg nr. 16, Rækkehuse ved Hamborgskovvej",12188636,Nej
Guldborgsund,0376,Kommuneplantillæg nr. 8 til realisering af lokalplan 221 for Aalholm Slot,12085187,Nej
Guldborgsund,0376,Kommuneplantillæg nr. 9,12085329,Nej
Guldborgsund,0376,Kommuneplantillæg nr. 9 Højspændingsstation ved Nørre Radsted,10609788,Nej
Guldborgsund,0376,Marielyst Ferieby,11278168,Nej
Guldborgsund,0376,Omdannelse af Nykøbing Falster havn,11439037,Nej
Guldborgsund,0376,TILLÆG NR 2 TIL KOMMUNEPLAN 2023-2035,11719373,Nej
Guldborgsund,0376,Tillæg 11 Stubbekøbing Vesthavn,11966138,Nej
Guldborgsund,0376,Tillæg nr. 12 til kommuneplan 2023-2035 - Rækkehus på Linde Allé,12126174,Nej
Guldborgsund,0376,Vennerslund Solcellepark,12085237,Nej
Guldborgsund,0376,Vækstkvarter,11291661,Nej
Haderslev,0510,"11-2021 Erhvervsområde ved Ribevej, Skrydstrup, Vojens",11252094,Nej
Haderslev,0510,12-2025 Solenergianlæg ved Strandelhjørn,12138913,Nej
Haderslev,0510,"2-2025 Centerområde ved Over Jerstalvej, Vojens",12186815,Nej
Haderslev,0510,21-2025 Butikscenter ved Bredgade,12182440,Nej
Haderslev,0510,"22-2025 Kursuscenter, Sommersted",12181757,Nej
Haderslev,0510,5-2025 Solenergianlæg Kastvrå,12087312,Nej
Haderslev,0510,6-2025 Rekreativt område ved Folevej,11922057,Nej
Haderslev,0510,8-2025 Område til offentlige formål Lembckesvej,12158368,Nej
Haderslev,0510,"9-2025 Erhvervsområde ved Stensbækvej, Arnum",12121802,Nej
Haderslev,0510,Boligområde Søndre Tværvej,11906871,Nej
Haderslev,0510,"Rekreativt område, Vesterris",11629027,Nej
Halsnæs,0260,Kommuneplantillæg nr. 4 for Månedalen i Hundested,12185307,Nej
Halsnæs,0260,Kommuneplantillæg nr.3,12185211,Nej
Halsnæs,0260,To lavbundsområder ved Sverkilstrup,12187055,Nej
Hedensted,0766,Kommuneplantillæg nr. 13,12159981,Nej
Hedensted,0766,Kommuneplantillæg nr. 15,12187416,Nej
Hedensted,0766,Kommuneplantillæg nr. 2,12138169,Nej
Hedensted,0766,Kommuneplantillæg nr. 3,12182006,Nej
Hedensted,0766,Kommuneplantillæg nr. 4,12116670,Nej
Hedensted,0766,Kommuneplantillæg nr. 5,12159978,Nej
Helsingør,0217,Tillæg 1 Erhvervsområde Kvistgård Nord,9731729,Nej
Helsingør,0217,Tillæg 11. Boliger ved Gurrevej og Rønnedalen,10477826,Nej
Helsingør,0217,Tillæg 12 Pindemosen,10711845,Nej
Helsingør,0217,Tillæg 13 Helsingør Bykerne,10740711,Nej
Helsingør,0217,Tillæg 14 Helsingør Idrætspark ved Gl. Hellebækvej,10884248,Nej
Helsingør,0217,Tillæg 16 - Espergærde Havn,10917845,Nej
Helsingør,0217,Tillæg 18 - Fiolgade,12139755,Nej
Helsingør,0217,Tillæg 19 for Nordskov Mølle i Ålsgårde,11170940,Nej
Helsingør,0217,"Tillæg 2 for boliger på Esrumvej, den tidligere hospitalsgtund",9701806,Nej
Helsingør,0217,Tillæg 20 for offentlig formål på Esrumvej 190,11126690,Nej
Helsingør,0217,Tillæg 21 for Sommarivabyen,11332444,Nej
Helsingør,0217,Tillæg 22 for Bevarende lokalplan for Hellebæk og del af Nordre Strandvej i Ålsgårde,11183722,Nej
Helsingør,0217,Tillæg 23  Del af Cinemabyen ved Rønnebær Allé og Fredericiavej,11201539,Nej
Helsingør,0217,Tillæg 24 - Idrætsanlæg ved Falkenberg Jorde,11228647,Nej
Helsingør,0217,Tillæg 26 for Køromgård Senioregnede boliger,11270762,Nej
Helsingør,0217,Tillæg 27 Boliger og erhverv på Haderslevvej i Cinemabyen,11331583,Nej
Helsingør,0217,Tillæg 28 - Solcelleanlæg ved Skibstrup,11453938,Nej
Helsingør,0217,Tillæg 30 for boliger på Løvdalsvej,11925734,Nej
Helsingør,0217,Tillæg 31 - Sommarivabyen,11964054,Nej
Helsingør,0217,Tillæg 4 for Boliger ved Rasmus Knudsens Vej og retningslinjer for almene boliger,10240624,Nej
Helsingør,0217,Tillæg 5 for Spillested i Murergade,9715961,Nej
Helsingør,0217,Tillæg 6 Tagboliger i Hovparken,10053992,Nej
Helsingør,0217,Tillæg 7 for boliger i Vandtårnet i Hornbæk,10353315,Nej
Herlev,0163,Kommuneplantillæg 1,11286484,Nej
Herlev,0163,Tillæg 2: Boliger og erhverv på Herlev Bygade 90 og Vindebyvej 2,11337410,Nej
Herlev,0163,Tillæg 3: Udvikling af Bangs Torv med boliger og erhverv,11426082,Nej
Herlev,0163,Tillæg 4: Boliger på Gammel Klausdalsbrovej 416 og 424,12127923,Nej
Herlev,0163,Tillæg 5: Boliger og erhverv på Vasekær 2-8,12103139,Nej
Herning,0657,"Kommuneplantillæg nr 10, Rammeområde 73.B5 og 73.BL1",12189932,Nej
Herning,0657,"Kommuneplantillæg nr 4, Rammeområde 12.E4 og 12.BL1 Blandet bolig og erhvervsområde ved",12156562,Nej
Herning,0657,"Kommuneplantillæg nr 5, Rammeområde 61.B3 Boligområde øst for Lind Hovedgade",12127918,Nej
Herning,0657,"Kommuneplantillæg nr 6, Rammeområde 89.E21 og 89.J6 Erhvervsområde i det åbne land ved Røddinglundvej i Vildbjerg",12157295,Nej
Herning,0657,"Kommuneplantillæg nr 7, Rammeområde 99.T50 Teknisk anlæg for solceller syd for Tarpvej ved Sdr. Felding",12189983,Nej
Herning,0657,"Kommuneplantillæg nr 8, Rammeområde 99.T48 Teknisk anlæg for højspændingsstationer øst for Vardevej ved Sdr. Felding",12137823,Nej
Herning,0657,"Kommuneplantillæg nr 9, Rammeområde 42.B3 Boligområde syd for Sinding Hovedgade",12157248,Nej
Hillerød,0219,Kommuneplantillæg 4,12186849,Nej
Hjørring,0860,Tillæg 1 - Vindmøller mellem Ilbro og Høgsted,12139471,Nej
Hjørring,0860,Tillæg 2 - Udvidelse af Rønnovsholm Biogas,12121745,Nej
Hjørring,0860,"Tillæg 3 - Ferie- og fritidsformål og naturområde ved Møllebakkevej, Lønstrup",12157993,Nej
Hjørring,0860,Tillæg 4 - Temaplan om kulturarv,11922125,Nej
Hjørring,0860,Tillæg 5 - Solceller øst for Hjørring,12185356,Nej
Hjørring,0860,Tillæg 6 - Solceller vest for Ugilt,12185589,Nej
Hjørring,0860,"Tillæg 7 - Erhvervsområde ved Rugerivej, Vrå",12193025,Nej
Hjørring,0860,Tillæg 9 - Fjernvarmeanlæg nord for Vrå,12192784,Nej
Holbæk,0316,1 - Sandby Vindpark,11414650,Nej
Holbæk,0316,2 - for et område ved Omfartsvejen,11330172,Nej
Holbæk,0316,4 - Have Borup boligområde,12157358,Nej
Holstebro,0661,"Boligområde ved Golfsvinget og Knudehus, Råsted",12156541,Nej
Holstebro,0661,"Centerområde ved Danmarksgade, Holstebro",12130593,Nej
Holstebro,0661,"Tillæg nr.  6 - Ulfborg Fjernvarme, ændret afgrænsning, bygningshøjde m.m.",12126393,Ja
Holstebro,0661,"Tillæg nr. 10 - Bygningshøjder i erhvervsområde ved Skautrupvej, Tvis",12161066,Ja
Holstebro,0661,Tillæg nr. 14 - Offentligt område ved Frøjkgården,12185533,Ja
Holstebro,0661,Tillæg nr. 7 Område til tekniske anlæg ved Idomlund,11654758,Nej
Holstebro,0661,Tillæg nr. 9 Energipark ved Idomlund - Energy Hub Holstebro,11938648,Nej
Horsens,0615,"2025-4, Offentlige formål, Dagnæs Hal 2, Horsens",12104464,Nej
Hvidovre,0167,Forslag til Tillæg nr. 2 til Kommuneplan 2021 om dagtilbud i Avedøre,11192514,Nej
Hvidovre,0167,Tillæg nr. 1 - Hvidovre Stadion,11021638,Nej
Hvidovre,0167,Tillæg nr. 10 - Parkering og friarealer i fortætningsområderne i de stationsnære kerneområder,12107184,Nej
Hvidovre,0167,Tillæg nr. 11 Område ved Høvedstensvej,12185884,Nej
Hvidovre,0167,Tillæg nr. 3 - Hvidovrevej 80,11228231,Nej
Hvidovre,0167,Tillæg nr. 4 til Kommuneplan 2021 om energianlæg ved rideskolen på Avedøre Slettevej,11252453,Nej
Hvidovre,0167,Tillæg nr. 5 til Kommuneplan 2021 for åben-lave boliger i rammeområde 1C14,11317460,Nej
Hvidovre,0167,Tillæg nr. 6 for Svend Aagesens Alle 10 og Immerkær 42,11484610,Nej
Hvidovre,0167,Tillæg nr. 8 - nyt lokalcenter ved Tårnfalkevej,11341976,Nej
Hvidovre,0167,Tillæg nr. 9 - Området ved  Præstemoseskolen,11347144,Nej
Høje-Taastrup,0169,Tillæg 1 til Kommuneplan 2021,11171024,Nej
Høje-Taastrup,0169,Tillæg 10 til Kommuneplan 2021,11484700,Nej
Høje-Taastrup,0169,Tillæg 11 til Kommuneplan 2021,11484701,Nej
Høje-Taastrup,0169,Tillæg 12 til Kommuneplan 2021,11906973,Nej
Høje-Taastrup,0169,Tillæg 13 til Kommuneplan 2021,12103154,Nej
Høje-Taastrup,0169,Tillæg 14 til Kommuneplan 2021,12103157,Nej
Høje-Taastrup,0169,Tillæg 15 til Kommuneplan 2021,12161124,Nej
Høje-Taastrup,0169,Tillæg 17 til Kommuneplan 2021,12181630,Nej
Høje-Taastrup,0169,Tillæg 18,12188520,Nej
Høje-Taastrup,0169,Tillæg 2 til Kommuneplan 2021,11192236,Nej
Høje-Taastrup,0169,Tillæg 3 til Kommuneplan 2021,11192210,Nej
Høje-Taastrup,0169,Tillæg 4 til Kommuneplan 2021,11206246,Nej
Høje-Taastrup,0169,Tillæg 5 til Kommuneplan 2021,11263349,Nej
Høje-Taastrup,0169,Tillæg 6 til Kommuneplan 2021,11262315,Nej
Høje-Taastrup,0169,Tillæg 7 til Kommuneplan 2021,11268949,Nej
Høje-Taastrup,0169,Tillæg 8 til Kommuneplan 2021,11331585,Nej
Høje-Taastrup,0169,Tillæg 9 til Kommuneplan 2021,11434990,Nej
Ikast-Brande,0756,"Kommuneplantillæg 6 - Teknisk anlæg, Bredgade, Nørre Snede",12129707,Nej
Ikast-Brande,0756,"Kommuneplantillæg nr. 3 - Sommerhusområde, Jægersprisvej, Guldforhoved",12130428,Nej
Ishøj,0183,Kommuneplantillæg nr. 1,12138165,Nej
Ishøj,0183,Kommuneplantillæg nr. 2,12186774,Nej
Jammerbugt,0849,"Kommuneplantillæg nr. 1 - Teknisk anlæg, Øslev Mark, Skerping",12181817,Nej
Kalundborg,0326,Tillæg nr. 1 til Kalundborg Kommuneplan 2025-2036 for etageboliger nord for Holbækvej,11942118,Nej
Kalundborg,0326,Tillæg nr. 2 for tæt-lav boligbebyggelse i Gørlev,11909980,Nej
Kalundborg,0326,Tillæg nr. 4 til Kalundborg Kommuneplan 2025-2036 for batterianlæg ved Asnæsværket,12161304,Nej
Kolding,0621,Tillæg 1 til Kommuneplan 2025-2036,11492638,Nej
Kolding,0621,Tillæg 12 til Kommuneplan 2025-2036,12115331,Nej
Kolding,0621,Tillæg 14 til Kommuneplan 2025-2036,12160431,Nej
Kolding,0621,Tillæg 2 til Kommuneplan 2025-2036,12187167,Nej
Kolding,0621,Tillæg 4 til Kommuneplan 2025-2036,12185420,Nej
Kolding,0621,Tillæg 6 til Kommuneplan 2025-2036,12085414,Nej
Kolding,0621,Tillæg 8 til Kommuneplan 2025-2036,12085146,Nej
Kolding,0621,Tillæg 9 til Kommuneplan 2025-2036,11966401,Nej
Københavns Kommune,0101,Kalvebod Brygge Vest,11765508,Nej
Københavns Kommune,0101,Langeliniespidsen,12181933,Nej
Københavns Kommune,0101,Palads,12104490,Nej
Københavns Kommune,0101,Østerbrogade Kaserne,12109014,Nej
Køge,0259,Tillæg nr. 1 - Køge Idrætspark,11231488,Nej
Køge,0259,Tillæg nr. 10 - Ravnsborg Enge - Nordbyen,11910154,Nej
Køge,0259,Tillæg nr. 11 - Boliger på Køge Fælles Jord,11259473,Nej
Køge,0259,Tillæg nr. 12 - Siloer i Køge Havn,11337289,Nej
Køge,0259,Tillæg nr. 15 - Herfølge Bjergby,12137507,Nej
Køge,0259,Tillæg nr. 16 - Gammel Netto p-plads,12085223,Nej
Køge,0259,Tillæg nr. 18 - Køge Dige,12104943,Nej
Køge,0259,Tillæg nr. 19 - Boliger på Kymervej,11331814,Nej
Køge,0259,Tillæg nr. 2 - Boliger i Køge Nord,10983849,Nej
Køge,0259,Tillæg nr. 20 - Boskovcentret,11453846,Nej
Køge,0259,Tillæg nr. 28 - Stiunderføring ved Køge bymidte,12185559,Nej
Køge,0259,Tillæg nr. 3 - Karlemoseparken,11206396,Nej
Køge,0259,Tillæg nr. 4 - Hotel og sundhedshuse i Bellingeparken,11016418,Nej
Køge,0259,Tillæg nr. 5 - Boliger på Vamdrupvej,11141584,Nej
Køge,0259,Tillæg nr. 6 - Boliger nord for Køge Idrætspark,11312523,Nej
Køge,0259,Tillæg nr. 7 - Boliger ved Kimmerslevvej,11270688,Nej
Køge,0259,Tillæg nr. 8 - Boliger på Østervang i Gørslev,11240634,Nej
Køge,0259,Tillæg nr. 9 - Nyt byområde på Søndre Havn – SH5 og SH6,11610236,Nej
Langeland,0482,Nyt boligområde i Bagenkop,12185690,Nej
Lejre,0350,Tillæg nr. 1 til Kommuneplan 2025 om et bolig og erhvervsområde ved Vintappervej,12108859,Nej
Lejre,0350,Tillæg nr. 2 til Kommuneplan 2025 for et boligområde ved Munkegården,12161130,Nej
Lemvig,0665,Kommuneplantillæg nr. 14 - Maritimt Museumscenter og De Røde Huse - Thyborøn,11286369,Nej
Lemvig,0665,Kommuneplantillæg nr. 4 - Udtagning af arealer fra eksisterende sommerhusområder,11020076,Nej
Lemvig,0665,"Kommuneplantillæg nr. 9 - Ferie- og Fritsformål – Nyvang, Lemvig",11192523,Nej
Lemvig,0665,Tillæg 15 - Vindmølle på Thyborøn Sydhavn,11257042,Nej
Lemvig,0665,Tillæg nr. 10 - Ramme til Klimapark ved Nees Hede,11131706,Nej
Lemvig,0665,"Tillæg nr. 12 - Campingplads, øvrige ferie- og fritidsformål samt fødevarevirk. med besøgsfaciliteter ved Pilgårdvej, Nørre Nissum",11206309,Nej
Lemvig,0665,Tillæg nr. 17 - Nyt aflastningsområde i Lemvig,11257347,Nej
Lemvig,0665,Tillæg nr. 23 til Lemvig Kommuneplan 2021-33 Lemvig: Levende bymidte,11366864,Nej
Lemvig,0665,Tillæg nr. 24 til Kommuneplan 2021-33,11620006,Nej
Lemvig,0665,Tillæg nr. 25 til Kommuneplan 2021-33: Lemvig Biogas,12139177,Nej
Lemvig,0665,Tillæg nr. 26 til Kommuneplan 2021-33: Pindstrup solcellepark,12107746,Nej
Lemvig,0665,"Tillæg nr. 30 til Kommuneplan 2021-33 - Campingplads m.m. ved Strandvejen, Vejlby",12190879,Nej
Lemvig,0665,Tillæg nr. 31 til Kommuneplan 2021-2033 - Bolig og hotel i Gudum,12190911,Nej
Lemvig,0665,"Tillæg nr. 5 - Sommerhusområde vest for Gjelleroddevej, Gjeller Odde",11131628,Nej
Lemvig,0665,Tillæg nr. 6 - Sommerhusområde Vejlby Klit 4-6D,11231379,Nej
Lemvig,0665,Tillæg nr. 8 - Ladeinfrastruktur m.m. ved Lemvig Station,11194071,Nej
Lolland,0360,Tillæg 1 Feriehotel på Svanehøj i Bandholm,12138170,Nej
Lyngby-Taarbæk,0173,"10/2021 Exmoor Stalden, Nybrovej",11337275,Nej
Lyngby-Taarbæk,0173,11/2021 DTU,12121757,Nej
Lyngby-Taarbæk,0173,4/2025 Skolebakken / Parcelvej,11237677,Nej
Lyngby-Taarbæk,0173,6/2025 Lyngbygårdsvej Vest,12182732,Nej
Lyngby-Taarbæk,0173,Hollandsvej,12136716,Nej
Lyngby-Taarbæk,0173,Thorsvej og Odinsvej.,12181649,Nej
Læsø,0825,Kommuneplantillæg nr. 1 - Solcelleanlæg Hundetudevej,3702962,Nej
Læsø,0825,Kommuneplantillæg nr. 2,9435089,Nej
Mariagerfjord,0846,Kommuneplantillæg nr. 1,11854701,Nej
Mariagerfjord,0846,Kommuneplantillæg nr. 2,11722101,Nej
Mariagerfjord,0846,Kommuneplantillæg nr. 8,11939538,Nej
Mariagerfjord,0846,Nr. 10 - Etageboliger og parkeringsplads ved Jernbanegade og Skivevej i Hobro,12139739,Nej
Mariagerfjord,0846,Nr. 12 Biogasanlæg nord for Tobberup,12187170,Nej
Mariagerfjord,0846,Nr. 3 - Ølsvej,11942179,Nej
Mariagerfjord,0846,Nr. 5 - Boligområde Sdr. Onsild,12158054,Nej
Mariagerfjord,0846,"Nr. 7 - Blandet bolig-, erhvervs og butiksbebyggelse langs Adelgade, Skibsgade og Nytorv i Hobro",11942190,Nej
Mariagerfjord,0846,Nr. 9 - Sødisbakke,12104247,Nej
Middelfart,0410,T.01.03 - Transformerstation ved Vandværksvej,12181747,Nej
Middelfart,0410,Tillæg 1 Skrillinge Strand,12126272,Nej
Morsø,0773,Kommuneplantillæg 1 - Udvidelse af rammeområde 17.B.10 ved Rolstrupparken i Nykøbing,11240542,Nej
Morsø,0773,"Kommuneplantillæg 2 - Udvidelse af rammeområde 50.LF.08 - Landzone Ferie/fritid, feriehotel Ejerslev",11279452,Nej
Morsø,0773,"Kommuneplantillæg 3 - Udvidelse af rammeområde 17.E.04 - Erhverv, Nykøbing, Limfjordsvej ",11270965,Nej
Morsø,0773,"Kommuneplantillæg 5 - Udlæg af rammeområde 15.O.06 - Område til offentlige formål, Øster Jølby, plejehjem",12191066,Nej
Norddjurs,0707,Kommuneplantillæg nr. 3 - Projekt Fjellerup Udvikling - Tillæg til kommuneplan 2025,12157914,Nej
Norddjurs,0707,Kommuneplantillæg nr. 6 - Fjellerup,12181596,Nej
Norddjurs,0707,"Tillæg 4 til Kommuneplan 2025 - Område til offentlig formål, Auningvej",12160034,Nej
Norddjurs,0707,"Tillæg nr. 2 til Kommuneplan 2025, Kompenseringsstation mellem Ålsrode og Balle",12127915,Nej
Nordfyns,0480,"Kommuneplantillæg nr. 1,  Muligheder for boliger, O17 Rådhus m.m. i Otterup",12181230,Nej
Nordfyns,0480,"Kommuneplantillæg nr. 3, Bogense Forsyning, E05",12189512,Nej
Nordfyns,0480,"Kommuneplantillæg nr. 4, Bryggergården",12181020,Nej
Næstved,0370,Almene boliger i Lov,12138019,Nej
Næstved,0370,Forslag til Kommuneplantillæg nr. 8,12116656,Nej
Næstved,0370,Kommuneplantillæg nr. 03,12086653,Nej
Næstved,0370,Kommuneplantillæg nr. 04,12128983,Nej
Næstved,0370,Kommuneplantillæg nr. 1,11922484,Nej
Næstved,0370,Kommuneplantillæg nr. 13,12190713,Nej
Næstved,0370,Kommuneplantillæg nr. 2,12158382,Nej
Næstved,0370,Kommuneplantillæg nr. 7,12189322,Nej
Odder,0727,Tillæg nr. 1 til Kommuneplan 2025-2037,12121950,Nej
Odder,0727,Tillæg nr. 9 - Assedrup,12192704,Nej
Odense,0461,Tillæg nr. 14 Erhvervsområde Østerbro,12139017,Nej
Odense,0461,Tillæg nr. 15 Dyrskuepladsen,12138977,Nej
Odense,0461,Tillæg nr. 16 Tusindårsskoven,12138945,Nej
Odense,0461,Tillæg nr. 19 Lokalcenter Stenløsevej,12189921,Nej
Odense,0461,Tillæg nr. 2 Boliger og rekreativt byrum,12182603,Nej
Odense,0461,Tillæg nr. 24 Boliger og erhverv ved Østergade 54-68,12187007,Nej
Odense,0461,"Tillæg nr. 3 Udvidelse af Hotel Odense, OCC",12181581,Nej
Odense,0461,Tillæg nr. 35 Gårde og Landbrugsbygninger - Svendborgvej 471,12186091,Nej
Odense,0461,Tillæg nr. 40 Boliger Fraugde øst,11131327,Nej
Odense,0461,Tillæg nr. 5 Pladsen bag Sdr. Boulevard 85,12122046,Nej
Odense,0461,Tillæg nr. 71 Erhvervsområde J.B. Winsløws Vej,12103966,Nej
Odense,0461,"Tillæg nr. 8 Plejecenter og boliger, Anderupvej 54",12122005,Nej
Odsherred,0306,KP-tillæg nr. 17 for en højere bebyggelsesprocent i centerområdet i Asnæs,11922134,Nej
Odsherred,0306,Kommuneplantillæg 10,11309265,Nej
Odsherred,0306,"Kommuneplantillæg 11 for skole, Daginstitution, Svømmehal og Idrætshal syd for Vesterlyngvej i Nykøbing Sj.",11256967,Nej
Odsherred,0306,Kommuneplantillæg nr 14 - Store sommerhuse,11253204,Nej
Odsherred,0306,Kommuneplantillæg nr. 16 - Nyrup Landsby,11299765,Nej
Odsherred,0306,Kommuneplantillæg nr. 18 - Grundtvigsskolen - Nykøbing Sj,11347233,Nej
Odsherred,0306,Kommuneplantillæg nr. 19 - Nordicland - Tinghuleområder,11460845,Nej
Odsherred,0306,Kommuneplantillæg nr. 2 for Egebjerg erhversområde,10986488,Nej
Odsherred,0306,"Kommuneplantillæg nr. 26 for ferieboliger ved røgeriet i Havnebyen, Sj. Odde",12137645,Nej
Odsherred,0306,Kommuneplantillæg nr. 5 for Fårevejle Rensningsanlæg og Varmeværk,11170646,Nej
Odsherred,0306,Kommuneplantillæg nr. 6 for turisme- og serviceerhverv i et sommerhusområde i Rørvig,11173783,Nej
Odsherred,0306,Kommuneplantillæg nr. 7 for Turisme-og serviceerhverv i et sommerhusområde på Lyngvej,11923326,Nej
Odsherred,0306,Kommuneplantillæg nr. 8 for bevaringsværdige bygninger,11445349,Nej
Odsherred,0306,Kommuneplantillæg nr. Asmindrup nr. 3,11192022,Nej
Odsherred,0306,Tillæg 22 Ladestandere - REMA 1000 i Lumsås,11923320,Nej
Odsherred,0306,Tillæg 23 Telegrafvej - Sommerhusområde - Rørvig,12085205,Nej
Odsherred,0306,Tillæg 24 - Skamlebæk Badehotel,12181594,Nej
Odsherred,0306,Tillæg nr. 20 for Lindely bykvarter i Nykøbing Sj,11923335,Nej
Odsherred,0306,Tillæg nr. 4 til Kommuneplan 2021-33 - Fjernvarmeværk i Vallekilde - Hørve,11276090,Nej
Odsherred,0306,Tillæg nr. 9 til kommuneplan 2021-2033 for et bestående erhvervsområde i Højby,12137596,Nej
Odsherred,0306,kommuneplantilllæg nr 1.,10986480,Nej
Odsherred,0306,"kommuneplantillæg nr. 12 - tekniske anlæg, solceller ved Grevinge Lammefjord",11240010,Nej
Odsherred,0306,kommuneplantillæg nr. 15 for Solvognens fundsted,10345055,Nej
Odsherred,0306,tillæg til kommuneplanen nr. 13,11240150,Nej
Randers,0730,Tillæg 3 - Klimatilpasning af Randers midtby,12181587,Nej
Rebild,0840,Kommuneplantillæg nr. 11,11364793,Nej
Rebild,0840,"Nr. 1 - Boligområde ved Øster Hornumvej, Øster Hornum",12121765,Nej
Rebild,0840,"Nr. 2 - Boligområde ved Anlægsvej, Suldrup",12116125,Nej
Ringkøbing-Skjern,0760,"Tillæg nr. 1 - Boligområde ved Brogårdsvej, Tarm",12104371,Nej
Ringkøbing-Skjern,0760,"Tillæg nr. 10 - for et område til rekreative formål, hotel ved Bjerregård",11906291,Nej
Ringkøbing-Skjern,0760,"Tillæg nr. 14 - for et område til center- og erhvervsformål ved Arnborgvej, Skjern og Åboulevarden, Tarm",12181413,Nej
Ringkøbing-Skjern,0760,"Tillæg nr. 17 - for et område til teknisk anlæg (solcelleanlæg)  ved Stenmose, Ådum",12102843,Nej
Ringkøbing-Skjern,0760,"Tillæg nr. 19 for et område til rekreativt formål (Skydebane) ved Sæddingvej 26a, Skjern",12181476,Nej
Ringkøbing-Skjern,0760,"Tillæg nr. 2 - for et erhvervsområde ved Fabriksvej, Hvide Sande",12086765,Nej
Ringkøbing-Skjern,0760,"Tillæg nr. 20 - område til offentlige formål ved Idrætsvej, Lyne",12190703,Nej
